13
preduzece kapital dobit proizvodnja proizvod investicije trgovanje berza trziste banka likvidnost potrosac maloprodaja 
0 0.18 0 0.12 0 0.39 0.25 0 0 0.68 0 0 0
0 0 0.24 0.21 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0.34 0 0
0 0 0.31 0 0.06 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0.31 0 0 0 0 0
0 0 0 0 0 0 0 0.19 0.03 0.38 0 0.19 0.33
0 0 0 0 0 0 0 0 0.06 0 0 0 0
0 0 0 0 0 0 0 0.06 0 0 0 0.22 0.55
0 0 0 0 0 0.48 0 0 0 0 0 0.34 0
0.55 0 0 0 0 0 0 0 0 0.65 0 0 0
0 0 0 0 0.16 0 0 0 0 0 0 0 0
0 0 0 0 0.38 0 0 0 0 0 0 0.17 0
